City,State,State2,Country,Country2,Latitude,Longitude,Name,Price Per Guest,numberOfGuests,Price,roomType,Ratings
Manali, Himachal Pradesh,Himachal Pradesh, India,India,32.2233,77.18228,HighQ Manali / Deluxe Room,"2,982",3,"8,946",Room in hotel,0
Manali, Himachal Pradesh,Himachal Pradesh, India,India,32.22352,77.18152,Highq manali / 3 BHK Cottage,"1,014",9,"9,124",Room in hotel,0
Bhuntar, Himachal Pradesh,Himachal Pradesh, India,India,31.88656,77.14467,Shabashe,"8,684",1,"8,684",Shared room in rental unit,0
Jaipur, Rajasthan,Rajasthan, India,India,26.85991,75.66909,Luxurious Independent Studio with Wifi & Kitchen,"20,690",1,"20,690",Entire condo,4.75
Bhuntar, Himachal Pradesh,Himachal Pradesh, India,India,32.01248,77.29114,Aman Palace Guest House Kasol With Super Deluxe Room,"1,425",3,"4,274",Room in hotel,0
Bhuntar, Himachal Pradesh,Himachal Pradesh, India,India,32.01204,77.2909,Aman Palace Guest House Kasol With Deluxe Room,"2,137",2,"4,274",Room in hotel,0
Gurugram, Haryana,Haryana, India,India,28.36673,77.00647,Boutique destination wedding experience  50pax pkg,108,16,"1,734",Farm stay,0
Ganaheda, Rajasthan,Rajasthan, India,India,26.49372,74.5383,Lux farm resort with pool - Villa,150,12,"1,804",Farm stay,0
Banjar, Himachal Pradesh,Himachal Pradesh, India,India,31.63839,77.34503,Deluxe Room,941,3,"2,822",Room in hotel,0
Morjim, Goa,Goa, India,India,15.62707,73.7327,"Vedatmana By The Waves, Morjim",75,12,902,Entire villa,0
Gurugram, Haryana,Haryana, India,India,28.35517,77.00426,Marriage  Or Party Full Resort For 30 Persons,90,16,"1,443",Farm stay,0
Awas, Maharashtra,Maharashtra, India,India,18.76514,72.87878,StayVista - Pranaam - 6Bhk Luxury Alibaug,61,15,912,Entire villa,0
Bengaluru, Karnataka,Karnataka, India,India,13.12752,77.56391,Luxury PoolSide Heritage Villa in Lap of Nature,55,16,882,Private room in resort,0
Sangolda, Goa,Goa, India,India,15.54799,73.81177,12 BR Mansion | Big Groups | Private Pool | Scenic,86,16,"1,374",Entire villa,0
Rishikesh, Uttarakhand,Uttarakhand, India,India,30.13704,78.30683,An extravagant Pushp villa overlooking the Ganges,99,8,788,Entire villa,0
Parra, Goa,Goa, India,India,15.57329,73.7767,Perfect for Big Groups! 8BR Villa w Pool in Parra,61,16,978,Entire villa,0
New Delhi, Delhi,Delhi, India,India,28.496,77.166,Brookwood Gardens Wedding Guest Rooms,60,16,962,Farm stay,0
Pahalgam, Jammu and Kashmir,Jammu and Kashmir, India,India,34.09091,75.26407,Pahalgham Cottage Next to the River,78,10,782,Entire cottage,0
North Goa, Goa,Goa, India,India,15.56203,73.78613,Crystal Village 10 Bedroom Pvt Pool villa Nagoa,53,16,854,Entire home,0
Mararikulam, Kerala,Kerala, India,India,9.58429,76.3051,Flamingo lovely boutique villa 11 bed Luxury Space,90,16,"1,443",Entire home,0
Awas, Maharashtra,Maharashtra, India,India,18.76034,72.88551,10 BHK Luxury Villa w Pool - Modern Cottage Style,83,16,"1,325",Entire villa,4.89
Canacona, Goa,Goa, India,India,14.9939,74.0571,"6 BHK Villa W/pool,wifi- LuaCheia,canacona , Goa",94,13,"1,220",Entire villa,0
Nainital, Uttarakhand,Uttarakhand, India,India,29.38514,79.45673,"Luxury Entire Heritage Villa, Wifi",53,16,842,Entire villa,0
Pathau, Uttarakhand,Uttarakhand, India,India,30.1373,78.30656,A majestic luxurious villa overlooking the Ganges,114,8,913,Entire villa,0
Anjuna, Goa,Goa, India,India,15.58917,73.75996,Azara Serenidad 5BHK Private Pool Villa in Anjuna,119,10,"1,185",Entire villa,0
Nathuwakhan, Uttarakhand,Uttarakhand, India,India,29.47118,79.58584,Homfortable Loshgyani Estate-Rustic forest retreat,93,12,"1,118",Farm stay,0
Manali, Himachal Pradesh,Himachal Pradesh, India,India,32.29923,77.17704,Entire boutique stay with 8 rooms Khvaab Manali,60,16,962,Room in boutique hotel,0
Loutolim, Goa,Goa, India,India,15.33419,73.97759,Casa Susegad - Restored Indo-Portuguese Mansion,64,14,902,Entire villa,0
Candolim, Goa,Goa, India,India,15.51782,73.76411,8BHK(2X4) Super Luxurious @candolim,49,16,782,Entire serviced apartment,0
Karjat, Maharashtra,Maharashtra, India,India,18.91863,73.33386,Private Pool Villa with meals for 10+ guests.,60,16,962,Entire villa,0
Assagao, Goa,Goa, India,India,15.59765,73.77297,Assagao Bay: Luxury Villa by the Rose Nomad,105,8,842,Entire villa,0
Panna, Madhya Pradesh,Madhya Pradesh, India,India,24.71172,80.17358,"Mohan Niwas Palace, A Heritage Homestay in Panna.",180,8,"1,443",Entire villa,0
Nashik, Maharashtra,Maharashtra, India,India,20.07376,73.64485,Welcome to 16 Bedroom Gem hidden in Nature!,68,16,"1,082",Farm stay,0
Mumbai, Maharashtra,Maharashtra, India,India,18.92245,72.83399,45 foot 3BR Yacht at Mumbai Harbour,188,8,"1,503",Boat,0
Kullu, Himachal Pradesh,Himachal Pradesh, India,India,32.03766,77.14406,"Himalayan Kothi, Kais",602,2,"1,203",Room in boutique hotel,0
Lonavla, Maharashtra,Maharashtra, India,India,18.70197,73.45109,StayVista at 5 rooms @ Vyoman,100,10,"1,004",Private room in villa,0
Lonavla, Maharashtra,Maharashtra, India,India,18.77152,73.37963,PALACIO   LONAVALA,75,12,902,Entire villa,0
Nerul, Goa,Goa, India,India,15.50637,73.79914,22BHK(5+5+6+6) PRIVATE POOL VILLA near CANDOLIM,75,16,"1,203",Entire villa,0
SALIGAO, Goa,Goa, India,India,15.5554,73.78126,Woods Goa Bunglow,49,16,782,Entire bungalow,0
Ribandar, Goa,Goa, India,India,15.504,73.866,Room at Ribandar Hill ..Value for money 01,602,2,"1,203",Shared room in guest suite,4.2
Arpora, Goa,Goa, India,India,15.54944,73.7637,"Paloma, Baale Resort Goa, Luxury 3 Bedroom Villa",173,8,"1,385",Private room in resort,0
Arpora, Goa,Goa, India,India,15.54762,73.76425,"Koi, Baale Resort Goa, Luxury 4 Bedroom Villa",153,10,"1,529",Private room in resort,0
Guirim, Goa,Goa, India,India,15.56865,73.8132,Super Luxury 4BHK Villa with Excellent Service,75,12,902,Entire villa,0
New Delhi, Delhi,Delhi, India,India,28.443,77.167,Farmhouse Gardens & Swimming Pool for film shoots,251,6,"1,503",Farm stay,0
Udaipur, Rajasthan,Rajasthan, India,India,24.49092,73.58379,Beautiful Cottage in the village of Bujera Udaipur,180,7,"1,263",Entire villa,0
Panaji, Goa,Goa, India,India,15.504,73.866,BnB with Antique furniture in River view place 02,549,2,"1,097",Private room in villa,4.83
New Delhi, Delhi,Delhi, India,India,28.495,77.136,Brookwood Gardens Wedding Venue,75,16,"1,203",Farm stay,0
Arpora, Goa,Goa, India,India,15.535,73.767,Stunning Luxury 16 bedroom Villa + Private Pool,73,16,"1,172",Entire villa,0
Kumarakom, Kerala,Kerala, India,India,9.58518,76.42182,"Lakeside 20 AC Rooms In Kumarakom, Kerala, India",49,16,788,Farm stay,0
Anjuna, Goa,Goa, India,India,15.57058,73.7415,Private Beach Touch Villa,226,4,902,Entire villa,0
New Delhi, Delhi,Delhi, India,India,28.49204,77.13633,Brookwood Gardens Glasshouse Party Venue,60,16,962,Farm stay,0
Panaji, Goa,Goa, India,India,15.49643,73.81885,A luxury heritage Goan Boutique villa in Panjim,78,15,"1,168",Private room in villa,0
Calangute, Goa,Goa, India,India,15.54723,73.76524,6BHK Celebrity Ultra Luxury Villa at Baga,60,14,842,Entire villa,0
Assonora, Goa,Goa, India,India,15.62133,73.89804,Valley Meadows Farm,64,16,"1,022",Room in boutique hotel,0
New Delhi, Delhi,Delhi, India,India,28.43832,77.18967,Farmhouse for wedding and pre-wedding function !!!,75,16,"1,203",Farm stay,0
Calangute, Goa,Goa, India,India,15.535,73.767,Unique Breathtaking Luxury Villa with Party Room,89,10,888,Entire home,4.33
Gurugram, Haryana,Haryana, India,India,28.36638,77.00665,Farm resort (AC halls avb./16 rooms/40 ppl stay),82,16,"1,311",Farm stay,0
New Delhi, Delhi,Delhi, India,India,28.44808,77.18313,PRE-WEDDING @ EXQUISITE PRIVATE FARM,75,16,"1,203",Farm stay,0
North Goa, Goa,Goa, India,India,15.55636,73.78057,8 Bedroom Luxury Private Pool Villa ! Breakfast,53,16,842,Entire villa,0
Goa, Goa,Goa, India,India,15.535,73.767,"Escape to Paradise, Your Group Getaway 12-36 Pax",61,16,978,Entire villa,5
Abu Road, Rajasthan,Rajasthan, India,India,24.53351,72.79282,ChaCha Villa,90,12,"1,082",Entire bungalow,0
Panjim, Goa,Goa, India,India,15.49783,73.83033,9 Luxury Heritage Boutique stay in Fontainhas Goa,53,16,842,Room in heritage hotel,0
Colovale, Goa,Goa, India,India,15.64852,73.81753,7 BedRoom Villa on the Chapora River in Colvale,96,10,962,Entire villa,4.6
Kukas, Rajasthan,Rajasthan, India,India,27.08777,75.88661,Natural Pearl Farms,105,8,842,Farm stay,0
Nandgaon, Maharashtra,Maharashtra, India,India,18.77551,73.4101,ULTRA LUXURIOUS MANSION with Private Discotheque,56,16,902,Entire villa,0
Candolim, Goa,Goa, India,India,15.51716,73.76421,Ultimate 9 BHK Beach Villa on Candolim Beach,72,16,"1,153",Entire villa,0
Barashiv, Maharashtra,Maharashtra, India,India,18.48283,72.90424,6BHK Private Villa with Infinity pool and Sea view,75,16,"1,203",Entire villa,0
Candolim, Goa,Goa, India,India,15.52253,73.76319,"Hamsa Villas, Candolim Beach, Goa (Casa Sea Vista)",95,12,"1,143",Entire villa,5
Candolim, Goa,Goa, India,India,15.5164,73.76705,Luxurious Serviced 6BHK Villa on Candolim Beach,67,12,798,Entire home,4.8
Mahabaleshwar, Maharashtra,Maharashtra, India,India,17.92426,73.73543,StayVista at Cowboy Castle -7BR w/ Panoramic View,49,16,784,Entire villa,0
Ambelim, Goa,Goa, India,India,15.17409,73.97429,Heritage-Portuguese Luxurious Villa in South Goa,56,16,902,Entire villa,0
Rishikesh, Uttarakhand,Uttarakhand, India,India,30.12978,78.3307,Shambhala by the ganges,125,12,"1,503",Entire villa,0
Amritsar Cantt., Punjab,Punjab, India,India,31.6253,74.8819,Walking Distance  to Golden Temple,"18,040",2,"36,079",Room in hotel,3.75
Lonavla, Maharashtra,Maharashtra, India,India,18.70196,73.45204,StayVista at Vyoman,93,16,"1,481",Entire villa,0
Calangute, Goa,Goa, India,India,15.5351,73.75755,Beachfront 6+1BDR Luxury Villa With Private Pool.,75,12,897,Entire home,4.78
Vijayawada, Andhra Pradesh,Andhra Pradesh, India,India,16.47665,80.70571,Dwaraka Residency Quad Occupancy Room,760,4,"3,041",Room in hotel,0
Moira, Goa,Goa, India,India,15.60049,73.83723,Birdsong Moira | A Unique Homestay Experience,64,15,962,Entire villa,0
Calangute Beach, Goa,Goa, India,India,15.54855,73.75427,"Art -inspired , Designer Calangute Beach Villa",49,16,782,Entire villa,0
Vijayawada, Andhra Pradesh,Andhra Pradesh, India,India,16.47685,80.70631,Dwaraka Residency Double Room Near Anjaneya Swamy Poranki Vijayawada,"1,517",2,"3,033",Room in hotel,0
Asgaon, Goa,Goa, India,India,15.31553,73.91299,Luxury Boutique Hotel.,55,16,880,Room in boutique hotel,4.94
Chennai, Tamil Nadu,Tamil Nadu, India,India,12.94891,80.26171,"Vedantha@33-Beach Front Pool Villa.ECR
9884458888",56,16,893,Entire home,5
Sangolda, Goa,Goa, India,India,15.54477,73.80395,12 Bedroom Luxurious Heritage Villa with Pool.,98,16,"1,563",Entire bungalow,0
Lonavala, Maharashtra,Maharashtra, India,India,18.76805,73.41268,Aashiyaana Villa Heritage Luxury Villa With Pool,80,15,"1,203",Entire villa,0
Calangute, Goa,Goa, India,India,15.537,73.768,CALANGUTE 2BHK NO:8,376,8,"3,007",Entire rental unit,4.25
Dehradun, Uttarakhand,Uttarakhand, India,India,30.31502,78.03482,"Hotel Doon's Pride, Dehradun-Superior Room",527,3,"1,581",Room in hotel,0
Dehradun, Uttarakhand,Uttarakhand, India,India,30.31512,78.03483,"Hotel Doon's Pride, Dehradun-Deluxe Room",585,3,"1,756",Room in hotel,0
Vijayawada, Andhra Pradesh,Andhra Pradesh, India,India,16.47528,80.70549,Dwaraka Residency Triple Room Near Anjaneya Swamy Poranki Vijayawada,"1,014",3,"3,041",Room in hotel,0
Vagator, Goa,Goa, India,India,15.60224,73.78022,Serene Voyage 5 bhk in Assagao,71,14,998,Entire home,4.64
Nilgiris, Tamil Nadu,Tamil Nadu, India,India,11.33,76.803,A glamorous 4 B/R Villa with gorgeous views+BBQ,99,10,993,Entire villa,0
Vagator, Goa,Goa, India,India,15.59941,73.7575,Villa Azul by Lohono Stays,94,10,940,Entire villa,0
Mandrem, Goa,Goa, India,India,15.66367,73.71241,Private Villa with Pool by the beach,56,16,902,Entire villa,3.83
Mumbai, Maharashtra,Maharashtra, India,India,18.92181,72.83607,54 foot 3BR Luxury Yacht Mumbai Harbour,192,10,"1,924",Boat,0
Alibag, Maharashtra,Maharashtra, India,India,18.64594,72.89102,coconut villa 3 bhk,150,12,"1,804",Entire villa,0
Manali, Himachal Pradesh,Himachal Pradesh, India,India,32.2409,77.18879,"Hamsa Villas, Manali",145,12,"1,744",Entire home,4.83
Calangute, Goa,Goa, India,India,15.53091,73.76345,"Hamsa Villas, Candolim Beach, Goa (Casa Sea Esta)",90,12,"1,082",Entire villa,0
Ajmer, Rajasthan,Rajasthan, India,India,26.29586,74.73548,Peeli Kothi is ideal 4 shooting with heritagelook,"1,203",2,"2,405",Farm stay,0
Mahagaon, Uttarakhand,Uttarakhand,India,India,18.697,73.506,Cherry Flower.,97,16,"1,546",Entire bungalow,4.53
Kihim, Maharashtra,Maharashtra, India,India,18.73272,72.86783,14 room Luxury Beach Villa with two large Pools,105,16,"1,674",Entire villa,0
Kalwar, Rajasthan,Rajasthan, India,India,26.98848,75.58298,"Bara Bungalow Kalwar, Jaipur (Entire Bungalow)",68,16,"1,082",Entire bungalow,0
Nerul, Goa,Goa, India,India,15.50182,73.81186,Eternia Villa | Exclusive Pool | Modernised | 7BHK,215,14,"3,007",Entire villa,0
Alibaug, Maharashtra,Maharashtra, India,India,18.65904,72.87707,StayVista at Casa Bella- Luxury Villa W/Sea View,53,16,842,Entire villa,4
Ramgarh, Uttarakhand,Uttarakhand, India,India,29.42102,79.54799,Suite 2 (The Himalayan Living Whispering Oaks),"1,460",3,"4,381",Room in hotel,0
Janedghat, Himachal Pradesh,Himachal Pradesh, India,India,30.99192,77.20999,Premium Deluxe Room,"1,450",3,"4,351",Room in hotel,0
Bujra, Rajasthan,Rajasthan, India,India,24.561,73.637,8 rooms @Castle Oodeypore,60,16,962,Private room in castle,0
Ramgarh, Uttarakhand,Uttarakhand, India,India,29.42237,79.54729,Entire Suite Villa (The Himalayan Living Whispering Oaks),730,6,"4,381",Room in hotel,0
New Delhi, Delhi,Delhi, India,India,28.49698,77.13752,Destination Wedding Venue,263,16,"4,209",Farm stay,0
Kolkata, West Bengal,West Bengal, India,India,22.516,88.351,The best place to stay in South Kolkata,"1,503",4,"6,013",Entire condo,4.27
New Delhi, Delhi,Delhi, India,India,28.575,77.232,Defence Colony A Block Apartment with elevator.,702,6,"4,209",Entire rental unit,4.91
Pune, Maharashtra,Maharashtra, India,India,18.52454,73.87851,"A cozy, centrally located Bed and Breakfast","2,135",2,"4,269",Private room in condo,4.8
Kasol, Himachal Pradesh,Himachal Pradesh, India,India,32.00977,77.31291,Balcony With Mountain View Westros Kasol,"1,490",3,"4,470",Room in hotel,0
Patna, Bihar,Bihar, India,India,25.59828,85.17635,HomesTel Non Ac Room,"1,473",3,"4,418",Room in hotel,0
New Delhi, Delhi,Delhi, India,India,28.4963,77.15165,Olive Glasshouse ~ Private Party Venue,263,16,"4,209",Entire place,0
Khoohdi, Rajasthan,Rajasthan, India,India,26.61888,70.70844,Swiss Luxury Tent,"1,111",4,"4,444",Room in hotel,0
New Delhi, Delhi,Delhi, India,India,28.49611,77.15379,Olive 8 Glasshouse,226,16,"3,608",Farm stay,0
Bengaluru, Karnataka,Karnataka, India,India,13.06573,77.4722,Aalaya by Happy Retreats - Weddings-Family Getaway,281,15,"4,209",Farm stay,0
Govind Nagar, Andaman and Nicobar Islands,Andaman and Nicobar Islands, India,India,12.03632,92.99161,Gypsy Divers Dive Resort-Standard Room,"1,758",3,"5,274",Room in hotel,0
Assagao, Goa,Goa, India,India,15.59992,73.77924,8 to 14 BR | Luxury | Single Key | Top Location,263,16,"4,209",Entire villa,0
Alappuzha, Kerala,Kerala, India,India,9.46949,76.38729,Spice Routes Houseboats - Cinnamon,116,6,698,Houseboat,0
Mumbai, Maharashtra,Maharashtra, India,India,19.16242,72.7834,Bougainvilla.. The perfect Getaway in Paradise,75,8,601,Entire villa,4.96
Baga, Goa,Goa, India,India,15.56965,73.75761,Celebration: 6BHK Luxury Villa - Pool/Jaccuzi/Bar,47,14,661,Entire villa,5
Dona Paula, Goa,Goa, India,India,15.45279,73.80111,TROPICAL VIBES 5BHK Luxury Beach House,47,14,660,Entire villa,4.62
Marna, Goa,Goa, India,India,15.615,73.78,Private luxury 7BHK villa with swimming pool,37,16,598,Entire villa,4.8
Assagao, Goa,Goa, India,India,15.59117,73.77654,Luxurious 5BHK Villa With a Caretaker in Assagao,42,15,623,Entire villa,4.33
Anjuna, Goa,Goa, India,India,15.5804,73.75759,Pura Vida I by Hireavilla-5BR w Pvt pool in Anjuna,51,15,771,Entire villa,4.88
Jaipur, Rajasthan,Rajasthan, India,India,26.925,75.801,"Pool party, Function & Events @ Heritage Bungalow",35,16,567,Entire bungalow,0
Lonavala, Maharashtra,Maharashtra, India,India,18.67386,73.39413,Falcon Hill -Infinity pool views near Lion's point,42,15,624,Entire villa,5
Alibag, Maharashtra,Maharashtra, India,India,18.65748,72.87744,Frangipani by Hireavilla-5BR Lux Estate in Alibaug,47,15,701,Entire home,4.47
Manali, Himachal Pradesh,Himachal Pradesh, India,India,32.28484,77.17409,ChaletShanagManali- 4 BR Chalet,63,8,505,Entire chalet,4.5
